filename,oldInvariant,expected,sizeOfTrace,numOfPositives,numOfNegatives,solvingTime,formula
weakening/w_antec_7_5_25_25.trace,"[](a -> b)","[](a && c -> b)",5,25,25,1.39,"[]((a && c) -> b)"
weakening/w_conseq_11_75_5_5.trace,"[](a -> b)","[](a -> b || c)",75,5,5,TO,-
weakening/w_antec_3_5_20_20.trace,"[](a -> b)","[](a && c -> b)",5,20,20,0.655,"[]((a && c) -> b)"
weakening/w_conseq_3_5_90_90.trace,"[](a -> b)","[](a -> b || c)",5,90,90,2.179,"[](a -> (b || c))"
weakening/w_antec_11_5_100_100.trace,"[](a -> b)","[](a && c -> b)",5,100,100,8.624,"[]((a && c) -> b)"
weakening/w_antec_3_5_10_10.trace,"[](a -> b)","[](a && c -> b)",5,10,10,0.395,"[]((a && c) -> b)"
weakening/w_antec_3_5_95_95.trace,"[](a -> b)","[](a && c -> b)",5,95,95,2.31,"[]((a && c) -> b)"
weakening/w_conseq_7_5_30_30.trace,"[](a -> b)","[](a -> b || c)",5,30,30,1.544,"[](a -> (b || c))"
weakening/w_antec_11_10_5_5.trace,"[](a -> b)","[](a && c -> b)",10,5,5,2.07,"[]((a && c) -> b)"
weakening/w_conseq_7_25_5_5.trace,"[](a -> b)","[](a -> b || c)",25,5,5,14.573,"[](a -> (b || c))"
weakening/w_antec_7_95_5_5.trace,"[](a -> b)","[](a && c -> b)",95,5,5,TO,-
weakening/w_antec_11_55_5_5.trace,"[](a -> b)","[](a && c -> b)",55,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_7_10_5_5.trace,"[](a -> b)","[](a -> b || c)",10,5,5,1.261,"[](a -> (b || c))"
weakening/w_antec_7_80_5_5.trace,"[](a -> b)","[](a && c -> b)",80,5,5,TO,-
weakening/w_antec_7_5_60_60.trace,"[](a -> b)","[](a && c -> b)",5,60,60,2.952,"[]((a && c) -> b)"
weakening/w_conseq_11_95_5_5.trace,"[](a -> b)","[](a -> b || c)",95,5,5,TO,-
weakening/w_conseq_3_95_5_5.trace,"[](a -> b)","[](a -> b || c)",95,5,5,TO,-
weakening/w_conseq_3_5_35_35.trace,"[](a -> b)","[](a -> b || c)",5,35,35,0.973,"[](a -> (b || c))"
weakening/w_antec_11_25_5_5.trace,"[](a -> b)","[](a && c -> b)",25,5,5,22.496,"[]((a && c) -> b)"
